NO.,COUNTRY OF NATIONALITY,2023,2022,2019
1.,SINGAPORE,8308230,5222991,10163882
2.,INDONESIA,3108165,1481739,3623277
3.,THAILAND,1551282,715528,1884306
4.,CHINA,1474114,212603,3114257
5.,BRUNEI,811833,301757,1216123
6.,INDIA,671846,324548,735309
7.,SOUTH KOREA,400853,146384,673065
8.,VIETNAM,344361,173763,400346
9.,AUSTRALIA,343438,152265,368271
10.,PHILIPPINES,339282,159442,421908
11.,CHINESE TAIPEI,283380,48132,382916
12.,UNITED KINGDOM,272297,134667,346485
13.,JAPAN,229892,83309,424694
14.,United States of America,229476,108141,269928
15.,BANGLADESH,142748,59033,179000
16.,GERMANY,125987,57780,130221
17.,FRANCE,115145,55087,141661
18.,RUSSIA,109689,33003,79984
19.,PAKISTAN,107657,60535,105757
20.,MYANMAR,86298,36765,46257
21.,CAMBODIA,72627,39823,97097
22.,CANADA,71981,30656,87568
23.,NETHERLANDS,68448,31070,82110
24.,SRI LANKA,55050,24906,26058
25.,SAUDI ARABIA,51375,35980,121444
26.,ITALY,48440,18866,54710
27.,NEW ZEALAND,42955,18238,50140
28.,SPAIN,40762,20474,43616
29.,SWITZERLAND,23312,10486,25659
30.,POLAND,21472,8472,27033
31.,EGYPT,20783,11117,29831
32.,IRAN,19908,7570,46559
33.,NEPAL,18488,11379,20437
34.,IRELAND,18127,8739,19696
35.,SWEDEN,18006,8083,29592
36.,BELGIUM,17726,7543,22082
37.,TURKIYE,17275,7169,15290
38.,LAOS,16781,7010,26955
39.,DENMARK,16053,7717,22314
40.,SOUTH AFRICA,15155,7937,22674
41.,IRAQ,12562,6008,21421
42.,UKRAINE,11129,4381,16019
43.,NORWAY,9981,4960,14585
44.,KAZAKHSTAN,8298,2836,18138
45.,UAE,7877,3230,11174
