Domestic Visitors from 2017-2023,,,,,,,
States,2017,2018,2019,2020,2021,2022,2023
Labuan,381.0047677,544.9320221,523.8702531,107.53,53.899,243.695,331.36
Melaka,12624.98481,13122.60416,13978.97417,7274.547,3878.14,11757.166,15558.661
Kuala Lumpur,19049.44248,19165.49717,22633.3677,12434.908,9116.005,16912.534,22232.643
Selangor,25491.16105,30179.0472,33588.52696,19714.734,10211.58,21989.558,27579.478
Kedah,13304.53493,14480.0184,14831.15551,10108.084,4023.002,11186.197,13444.055
Johor,13140.63973,13487.23791,14274.36427,7242.508,3657.55,12376.202,15804.89
Penang,12642.64328,14450.49119,15410.62523,8929.515,5060.864,10002.735,13127.587
Negeri Sembilan,10822.32055,12802.11891,13303.04184,7917.736,5485.17,11490.144,14959.47
Perlis,1413.610533,2155.507903,2087.372446,1193.108,406.796,1669.175,1950.771
Perak,20109.71007,17553.16121,21070.72091,13173.306,4489.273,14566.727,17107.518
Pahang,16491.33914,18111.35658,18497.57835,9905.002,3404.772,13188.959,16455.567
Sabah,17791.71264,20359.88109,22035.06747,10336.897,3815.016,12589.005,16080.074
Putrajaya,1871.857684,1891.906993,1948.889218,451.113,223.006,1305.808,1900.379
Terengganu,12979.37637,13742.36636,14158.28363,7419.729,3719.052,10233.282,11760.516
Kelantan,9623.663823,9846.123436,10985.65201,6058.183,1920.93,6627.155,7549.37
Sarawak,17670.34745,19380.2302,19793.37569,9393.255,6510.9,15464.621,17901.19
