State,Total Tourists,,,,,,,,,,,,,,,,,,
Malaysia,"79,559.4",,,,,,,,,,,,,,,,,,
Johor,"8,923.0",,,,,,,,,,,,,,,,,,
Kedah,"6,452.4",,,,,,,,,,,,,,,,,,
Kelantan,"4,085.8",,,,,,,,,,,,,,,,,,
Melaka,"4,991.1",,,,,,,,,,,,,,,,,,
Negeri Sembilan,"4,255.5",,,,,,,,,,,,,,,,,,
Pahang,"8,537.1",,,,,,,,,,,,,,,,,,
Pulau Pinang,"4,069.7",,,,,,,,,,,,,,,,,,
Perak,"7,503.4",,,,,,,,,,,,,,,,,,
Perlis,736.0,,,,,,,,,,,,,,,,,,
Selangor,"8,455.7",,,,,,,,,,,,,,,,,,
Terengganu,"4,060.0",,,,,,,,,,,,,,,,,,
Sabah,"5,775.1",,,,,,,,,,,,,,,,,,
Sarawak,"5,324.6",,,,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,"5,724.8",,,,,,,,,,,,,,,,,,
W.P. Labuan,164.1,,,,,,,,,,,,,,,,,,
W.P. Putrajaya,501.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
